	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
Membrane Transport	185548.083333333	128643.833333333	207895.833333333	21435.8333333333	32855.0833333334	38056.1666666667	76495.4999999999	48611	103179.333333333	234793.333333333	398043.000000001	306891.666666666	247043.583333333	141882.833333333	135441.083333333	10718.0833333333	275287.25	230682.416666667	48506.0833333333	44143	161654.333333333	47465.9166666667	104806.75	17585.3333333333	41690.4166666666	46779.75	69054.5833333334	16270.75	19318.8333333333	141884	43858.4166666666	15118.0833333333	76285.4166666667	59428.9166666666	178351.583333333	31281.8333333333	24136	4877	46528.3333333333	79219.5833333334	26024.25	35285.5	87039.75	28230.5833333333	373.083333333333	50525.6666666667	78002.0833333333	155985.5	287859.5	37629.75	72751.3333333333	104651.083333333	31342.5833333333	20850.6666666667	32905.5	72640.9166666667	22023.6666666667	562830.416666666	395428.833333334	51973.5833333334	384864.25	533547.166666666
Metabolite damage and its repair or mitigation	10116.5833333333	9409.25	11936.5	3376	3680.83333333333	6665.66666666667	3277.25	3965.16666666667	7579.16666666667	11997.5833333333	22647.4166666667	23056.9166666667	16560.5833333333	10044.8333333333	8507.16666666666	4000.41666666667	18750.6666666667	13763.4166666667	4792.83333333333	4606.91666666667	18218.1666666667	4200.16666666667	8579.33333333332	2043.25	5168.16666666667	4407	5916.91666666666	4392.41666666666	3787.66666666667	9718.66666666667	5820.08333333333	3384	12118.25	5959.66666666667	12136.3333333333	3984.33333333333	2511.83333333333	588.75	3246.16666666667	9234.25	4176.75	6758.5	8367.5	2284.08333333333	84.25	2931.75	5444.25	9492.25	20209.6666666667	6475.5	15236.1666666667	12949.3333333333	3423.41666666667	5959.16666666667	8072.33333333333	11410.0833333333	4130.33333333333	32377.25	23717.75	8221.5	23652.75	23673.4166666667
Microbial communities	1284.5	1301.83333333333	1434.16666666667	404.333333333333	763	1202.66666666667	1500.16666666667	980	3184.5	5565.66666666667	5093.5	8707.83333333334	9091.16666666666	4595	7573.83333333333	247.166666666667	3000.5	808	1201.83333333333	721.833333333333	9327.33333333333	2222.66666666667	5417.16666666667	1540.16666666667	2538.5	687.500000000001	3859.5	545.833333333333	375.166666666667	560.833333333333	1746.5	131.833333333333	6660.16666666667	222.333333333333	4301.83333333333	498.5	345.833333333333	277.166666666667	574.333333333333	3213.5	1016.16666666667	2262.16666666667	8371.33333333333	712.166666666667	19.5	575.5	4706.66666666667	9685.83333333333	8284.16666666666	1871.33333333333	4671.5	6338.66666666667	1819.5	863.166666666667	1296.16666666667	5777.66666666667	1612.33333333333	30211.3333333333	12382.1666666667	2306.16666666667	6911.83333333333	3290.83333333333
Miscellaneous	17126.6666666667	12786.25	18388.3333333333	7136.75	6225	9510.75	3063.75	7631.75	8272.75	14720	30654.5	28785.0833333333	22067.1666666667	12349	11632.4166666667	3597.33333333333	21519.25	22553.9166666667	6459.83333333333	5863.5	21682.5	6424.16666666667	18087	4895.75	6404.5	6399.75	6322.25	5055.16666666667	3420.41666666667	15441.8333333333	4360.58333333333	4070.75	16672.75	10277.1666666667	17560.6666666667	5497.83333333333	3304.25	801	4802.33333333333	12390.6666666667	6282.5	8213.08333333333	8788	4016.5	86	3446.66666666667	6714.83333333333	11390.4166666667	23023.9166666667	7626.58333333333	15941.6666666667	15209.25	4555	7379.33333333333	9870.83333333333	13919	5295.58333333333	39945	26454.1666666667	12233.5833333333	28237.5	31397.6666666667
Motility and Chemotaxis	45662	27911.5	54163	2974	4286.5	4593	10374.5	7509	19637	34533	81458	89493.5	64010	45514	43677.5	1435	53218	50434	7455	6842	9135.5	6511.5	14642.5	556	3769	7530	11143	1111.5	3594	29919.5	12082	2126	2714	15056	49423.5	4083	3422.5	189	7729.5	4633	1760.5	250	23883	7066	6	8418	20943	41285	90625	2548.5	1880.5	8093.5	2180	260	2206	1878.5	243	108300	95392	1729	77213.5	84227
Nitrogen Metabolism	3443.33333333333	2854.91666666667	1977.5	1253.75	1650.58333333333	2736.33333333333	1831.25	1755.16666666667	1535.66666666667	5900	7086.25	8333.33333333333	7665.91666666667	9722.5	10976.5	1273.41666666667	6842.41666666667	5253.41666666667	2368.08333333333	2016.91666666667	14789.5	3168.16666666667	8015.75	1315	2780.5	1890.91666666667	2135.91666666667	1962.91666666667	969	2345.75	1316.75	1149.16666666667	5162	1846.83333333333	3684.66666666667	1400.33333333333	1045.08333333333	532	1513.41666666667	3754.08333333333	1414.25	2818	2332.75	1266.75	35	1289.83333333333	2739.41666666667	5684.33333333333	3981	2752.41666666667	6450.5	11646.9166666667	3195.33333333333	1990.75	3439	4441.75	1215	13331.25	12885.25	4229.5	13891	10170.25
Nucleosides and Nucleotides	57543.8333333333	41292.8333333333	61887.6666666665	19166.3333333333	21609.5	33006.3333333333	14021.6666666666	24154.6666666667	44602.5	63551.3333333334	88385.1666666668	88597.6666666666	72963.1666666667	60076.1666666667	54406.5	15520.1666666667	66919.4999999999	61278.8333333334	26882	25257.3333333334	123502.166666667	30148.1666666667	78134.1666666666	15363.5	27693.5	25595.6666666666	37361	20991.8333333333	17909.6666666667	47003.1666666666	30270	15546	60033.8333333334	29545.8333333333	56910.6666666667	21803.8333333333	13989.6666666666	3537	20235.5	43444.8333333333	19983.1666666667	42051.1666666667	37305.5	12407.5	327.833333333333	11496.8333333333	36453.6666666667	65640.6666666667	83158.1666666666	32391.0000000001	67077.0000000001	85559.8333333333	25410.3333333333	33181.3333333334	45887.8333333333	60857.8333333334	17653.3333333333	119037	80298.3333333334	47226.1666666667	91954.1666666668	97976.8333333333
Phosphate Metabolism	16285	11492	19417	2422	3545	2516	3289	5224	11207	14858	26379	25642	21618	11239	10853	926	20320	15784	4268	4149	32337	8235	13816	1439	3435	4483	8600	1418	2182	11153	4357	1252	14452	4687	15611	2867	2468	906	4879	10008	3537	6515	6921	1697	47	2732	9836	16583	28598	6293	13799	20934	6134	1899	2808	15182	3670	26726	20989	8711	23940	25540
Photosynthesis	1711.5	2026	2333	1136.5	2272	3078.5	510.5	2366	1671	3874	5137	2472.5	2535.5	1630.5	1237	328.5	2816	2333.5	1523	3357.5	8319	2105	5474	795	1694.5	2339.5	1177.5	1922.5	1390.5	2144.5	938	1622.5	2893.5	2660	2503.5	2703	3024	244	3387.5	3177.5	1438	3818	345.5	1604.5	39.5	775.5	439	1150.5	2238.5	1371	1475	6179	1611	3278.5	4310	3397	1169	8966.5	5343	5499	5694.5	6467
Prokaryotic cell type differentiation	14982.5	11169.3333333333	10796.6666666667	1266.16666666667	2131	1717.66666666667	11616.6666666667	3065.33333333333	6818.83333333333	37960.6666666667	18610.1666666667	47502.3333333333	39629.3333333333	57627.5	68001.1666666667	1224.5	7477.16666666667	6844.83333333333	5875.5	2999.16666666667	16541.1666666667	4028.5	11192.1666666667	2331.66666666667	4821.16666666667	3116.16666666667	19930.5	506.833333333333	1150.5	4250	17245.6666666667	822	11359.5	2156.83333333333	34960.6666666667	1676.83333333333	1444.66666666667	499.833333333333	3001.83333333333	7285.83333333333	2408.33333333333	3653	46693.1666666667	3227.16666666667	27.5	2077	34111.3333333334	76346.1666666667	54351.8333333333	3446.5	7349.83333333333	12324.3333333333	3301.5	160.333333333333	507.166666666667	9766	2761.33333333333	13973.3333333333	16694.5	4718.33333333333	15952.1666666667	20595.8333333333
Prophages, Transposable elements, Plasmids	12159.5	6020.33333333333	15410.5	860	1305	1645	1517	1984.66666666667	2476.33333333333	10391.6666666667	24362	22886.3333333333	13118.6666666667	4439	10822	372.666666666667	35339	11632	1054	1467.83333333333	6411.33333333333	2667.33333333333	5354.66666666666	900.666666666667	686.666666666667	1351.33333333333	918.666666666667	228.666666666667	309.333333333333	2606	1716.66666666667	474	5169.33333333333	2843.33333333333	2025	943.666666666667	802	289.333333333333	1751.5	3664.33333333333	1206	2184.66666666667	588	843	22.3333333333333	2556	851.166666666667	1737.33333333333	6501	1739.66666666667	3619.5	4591	1233.66666666667	348.666666666667	495.666666666667	5832.33333333333	1852.33333333333	89768.3333333333	19499.1666666667	2442.33333333333	23126	22176.6666666667
Protein Fate (folding, modification, targeting, degradation)	64791.1666666669	56215.3333333336	75965.4999999999	23871.5000000001	25134.8333333334	26037.1666666666	16044.6666666667	31830.8333333331	45831.3333333334	68134.4999999999	128095	112381	73173.8333333332	63437.6666666667	62310.4999999999	18402.8333333333	66106.0000000002	65006.5000000001	32525.9999999999	32494.3333333334	125428.499999999	30055.6666666666	90836	15200.5	29407.1666666667	33527.8333333333	31715.5	16296.5	20199.5	46217.5	31660.8333333333	18963.3333333333	57769.8333333335	28740.3333333333	64312.3333333333	26417.3333333334	17257.1666666666	3745.5	27884.0000000001	48054.3333333333	23001	37180.3333333334	38527	14113.5	280.833333333333	14747.3333333333	30650.3333333333	51078.3333333333	109121	29333.1666666667	53832.5000000001	83461.3333333333	24340.6666666667	20853.1666666667	29572	62384.1666666668	17686.6666666667	149506	111038.333333334	42937.9999999999	116465.5	131374.333333334
Protein Synthesis	133582.499999999	115027.166666666	158256.999999999	53934.5333333333	58138.9666666667	81405.2666666663	39698.6666666668	65909.2666666667	110665.666666666	145585.966666666	226804	224200.833333333	158649.099999999	143327.166666666	136192.566666666	48060.5666666665	151911.633333333	88888.8666666667	73994.5999999998	74815.9333333329	277791.233333335	67020.7999999999	187217.266666667	35828.1666666667	72672.7666666669	72240.0333333333	79068.3666666665	53451.9000000002	50926.7666666666	71256.0666666665	82439.7999999999	45797.8333333336	129479.166666666	55960.0666666666	112596.033333333	65383.8333333332	39069.4000000004	7797.16666666667	53686.4333333332	114825.833333333	55468.9333333331	100247.366666666	98743.1333333331	33354.1000000001	782.6	26720.1333333335	73767.6666666664	123101.1	212981.899999999	64570.0999999999	128224.933333333	188962.233333333	55449.7666666667	77917.1000000001	106557.1	150096.166666666	42849.0666666667	257817.799999999	194633.5	109395.666666666	201775.666666667	222687.066666666
RNA Processing	86494.8666666663	64209.1833333334	102358.6	18163.2333333333	26697.0833333336	58893.3333333333	23045.8500000001	29746.3166666668	51779.4833333333	90414.4500000001	160970.616666666	154517.8	113098.65	84913.883333333	84313.8499999997	11303.2333333333	103068.3	75702.8666666665	28995.8833333335	30219.3833333335	136521.933333333	33366.85	87092.1166666659	20416.0833333333	29183.8833333335	30139.7666666668	32446.6166666667	34189.1833333335	14674.75	48742.2999999999	31345.1500000001	12963.9999999999	77884.8	27327.3166666667	71173.1999999999	27645.6666666668	18511.5166666667	3961.65	26382.1666666669	57805.4333333334	23237.9333333335	69679.8166666667	49190.25	12806.7666666666	452.85	17720.2833333333	38458.9833333333	75523.6166666665	142999.45	29487.6666666668	60647.15	93840.0666666664	27720.1833333334	63555.2	83949.0499999999	84128.4833333332	24851.4833333334	197914.833333333	138221.466666666	74281.0166666666	143970.383333333	163464.099999999
Regulation and Cell signaling	16803.4666666667	13478.2333333333	16014.8333333333	5213	6093.5	9325.73333333333	6140.16666666666	7701.73333333332	9813.3	21151.0666666667	25418.6	33835.0666666667	34922.1	29416.5	30156.2333333334	4312.83333333333	40526	16260.5666666667	8587.7	6859.09999999999	45809	11434.4333333333	28728.4666666667	7265.06666666667	12415.9333333333	6826.06666666666	15562.1	5747.43333333334	4517.93333333333	10930.4333333333	9955.16666666666	3732.43333333333	23064.9	6901.96666666666	17098	5882.79999999999	3880.3	1466.06666666667	5720.33333333333	14452.8333333333	6159.7	13710.4333333333	14436.3666666667	3772.76666666667	108.033333333333	3590.36666666667	12020.1	23304.4	22956.5	9890.8	21434.0333333333	32125.8666666667	8993.63333333333	9911.8	13597.1333333333	21538.9333333333	5732.6	98708.9666666666	46159.1666666666	14232.2333333333	33953.9	27165
Respiration	112877.166666666	92194.8333333338	138716.5	62458.8333333321	64750.8333333329	47753.3333333334	23332.5000000001	71304.1666666671	82722	106130.500000001	179119.666666668	153880.166666666	107604.833333334	94624.3333333333	83389.1666666665	60494.6666666665	113780.833333334	93942.6666666666	72172.1666666666	102228.166666668	181750.5	46282.5	138606.166666665	24761.4999999999	68254.666666666	70174.1666666666	90185.0000000001	36254.8333333336	55540.8333333333	73164.8333333328	61374.3333333332	55731.8333333332	96695.4999999998	81876.1666666664	86082.8333333333	71557.1666666665	34777.0000000003	5373.49999999999	47349.5	84681.1666666669	55713.3333333328	57787.3333333335	143865	60005.8333333332	531	22660	59142.1666666666	70159.3333333331	144590.833333333	59630.166666666	104930.166666666	123359.833333333	36222.5	37373.6666666667	51397.6666666662	97352.8333333331	28211	231268.500000001	158115.666666666	66259.8333333334	152767	182365.999999999
Secondary Metabolism	15461.4166666667	11261.75	16434.0833333333	4531.08333333333	5746	5895.5	6007.08333333334	7618.99999999999	11905.5	22872	36136.75	28306.5	24294	20512	15821.5833333333	3485.5	24254.25	37497.4166666666	8676	6834.16666666668	30776.5833333333	10957.75	30589	6709.08333333333	9102.16666666667	7974.08333333334	10950.4166666667	3641.41666666667	4340	21939.1666666667	12518.3333333333	3543.75	18890.8333333333	11994.25	29602.75	5320.58333333333	3890.91666666667	1156.25	6583.16666666668	12107.5833333334	5001.41666666667	8367.25	17456.8333333333	3500.66666666666	65.5	4210.58333333333	11789.3333333333	20163.8333333333	20530	7819.16666666668	15495.8333333333	21281.8333333333	6469.91666666667	5069	7272.08333333333	13954.1666666667	4952.41666666667	70609.3333333334	40995.2500000001	8333.08333333333	33421.3333333334	40897.0833333333
Stress Response, Defense and Virulence	150433.559523809	102352.08095238	166837.521428571	34683.4571428573	40680.5119047623	50421.9000000003	37422.0357142857	54747.3261904765	95992.0761904759	143219.771428571	238094.216666666	222792.169047618	189932.349999999	138385.321428571	131049.773809523	22672.2595238096	179737.535714285	145045.230952381	52250.7761904765	48448.8666666666	248374.714285716	62390.0476190479	170831.323809524	34117.5357142857	49826.1238095238	50988.8833333333	70420.292857143	28919.8904761907	28386.9190476191	111163.878571429	54485.776190476	25385.742857143	137636.347619046	57250.9428571427	129819.578571428	40313.7928571426	27073.1880952383	8000.80952380953	44311.6785714286	100513.147619048	42288.8523809525	72914.4238095238	85117.688095238	26284.980952381	673.509523809524	28916.6166666667	70869.5214285714	133964.995238095	191061.678571428	60445.088095238	123401.79047619	171084.061904762	49794.2595238095	39911.9000000001	56232.3333333334	142322.433333333	40697.8547619048	343097.66904762	221759.328571429	88990.5499999997	242076.538095239	253185.233333333
Sulfur Metabolism	18103.25	15025.9166666667	17938.5476190476	5486.75000000001	5530.92857142857	8418.80952380953	3934.78571428571	6694.34523809524	9988.70238095239	16661.8333333333	27675.5119047619	26778.8928571429	24445.1666666667	15501.119047619	12315.4047619047	4064.17857142857	22420.2380952381	30397.5833333333	7198.19047619048	6812.52380952382	36151.9166666667	8607.69047619048	21566.4880952381	3889.46428571429	6642.07142857143	7233.78571428571	7736.94047619047	4789.09523809524	4695.97619047619	26709.0952380952	7456.01190476191	4160.42857142857	26052.7738095238	12290.2023809524	19681.1547619048	5947.13095238096	3980.46428571428	983.988095238095	6439.95238095239	17173.4761904762	7164.57142857143	14458.0238095238	11522.25	5455.67857142857	127.5	4345.60714285714	8108.02380952381	14786.1785714286	19581.3095238095	10538.2976190476	22641.4642857143	24633.2380952381	7124.14285714286	7398.70238095238	9992.09523809524	27893.6666666667	7345.02380952381	65819.4761904762	42111.8571428572	16427.9047619048	34118.9404761905	40837.5714285715
