Index	H814_chip	H814_chip_2	H815_chip	H817_chip	H821_chip	H823_chip	H827_chip	H831_chip	H831_chip_2	H835_chip	H835_chip_2	H838_chip	H840_chip	H841_chip	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_swab_1	H825_swab_1	H825_swab_2	H827_swab_1	H827_swab_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H837_swab_1	H837_swab_2	H840_swab_1	H840_swab_2	H841_swab_1	H841_swab_2
Membrane Transport	43778.0564559994	51514.723471876	41423.9399430847	35679.5051724165	37647.4861740711	44793.7886926044	28173.184261609	35721.6132915085	118093.939931145	41737.743289174	42786.9774609764	35029.3230247624	35738.1751144926	36414.1098859152	92595.226065162	83102.5033853983	92830.8548652607	36458.1592666323	48093.1402813607	39297.1886317439	134076.792612322	58957.4059769378	74638.6402556781	107008.800945741	112423.707385203	91975.2808532611	92889.4794163662	68314.545036191	67751.8727943292	24085.944326488	107517.561305972	109515.503609571	55806.3854095085	51589.154518938	48112.2966457116	55152.1335534271	62807.7582427746	28040.2976973065	38292.4370068958	93869.7646692859	49067.3156235363	33001.2348446426	66422.4955143726	92175.7418238033	44071.1633106648	52839.1851634149	66093.162987161	51181.7892438146	38384.804864139	63448.2296804342	62689.2416236246	72100.7096060923	78534.7882264284	97999.6449523819	41394.7480007604	39535.7102886404	23457.505572078	26977.8645671657	113514.802484505	116985.889188016	112117.529467661	137939.6182496
Metabolite damage and its repair or mitigation	4933.71202869996	4558.4377078105	3390.90553568072	4145.62223880924	5980.45693743042	5407.49294500119	5396.22410996258	8066.6855121097	6852.39663787649	5164.55189203435	4673.43901421222	5502.23638637256	6702.36151781685	5760.2071134288	5048.54215645118	6078.27215435168	5329.95530180989	5741.91559386467	5387.98919047966	6883.03587302087	5744.17016149619	4809.1160628847	5482.67444647662	5467.98747869023	6396.56153823607	6910.1465317085	6226.85254119338	4836.44288043561	4255.55126742187	8989.83616001817	7323.35388893305	6534.12396756884	5514.16824082628	5384.02319218307	5964.2572001434	5195.74073332912	5381.65974803956	7569.69844315377	7507.64731668332	6429.82262199567	6511.31270976761	7386.92704967697	6660.99862890242	6272.3050006805	5613.2964825418	5498.97359130086	4611.15641186709	5966.01771226216	6160.55155158332	6099.54718219013	5072.06848265011	5032.35646406412	4779.10987586868	6880.2320504945	7123.39812725102	8279.88496764468	6704.2069936185	6618.17372195176	6530.02579446254	7016.7925032167	6890.45006158985	6120.36247528956
Microbial communities	2525.96089959806	2412.25845289317	2141.08715957399	3124.89865890421	3286.84751891647	2545.69306936645	1806.19343159286	1867.06667639334	1345.1195583177	2528.03538866673	2483.87009654852	2786.13984078397	2616.36047628764	1615.76325951295	641.012107179948	840.97003476439	640.392428993341	687.691905149866	1116.87636468263	1241.88595438612	2629.40349498448	1188.58402125854	2303.62750189838	2536.59381213413	1438.61380194233	2609.73334713137	3418.31885515783	2212.42645827224	3788.66869591231	555.439101148087	1171.89024445764	383.594589458453	1382.71263291019	843.59403235515	2929.52373231591	810.544986195546	3510.36138713441	940.665252663818	743.62906406117	371.044606993679	1953.92522689122	287.778728146892	248.497459895851	2223.27534912472	702.307779606899	757.107703665934	815.83637086276	2076.16188844296	1498.80819656445	6102.34151712072	1581.44759942821	4350.57619032835	4876.57423048818	2820.28347877937	2058.56727080983	2538.66234680763	971.083429449034	1062.67368038194	6093.1915450439	3663.20980026547	2013.5351034178	850.789437340705
Miscellaneous	5871.89770626134	6972.14322636228	7148.7266015841	9933.16044324009	8228.14048262275	7356.94581561946	6557.61460390104	8234.24277793987	8055.91441239793	6065.86909472225	6218.20735904286	6712.10069414506	8593.23233340141	8571.18211267903	8546.82809573263	8259.77706337691	8210.86539114879	12138.2156737304	9112.13023610664	9820.89814912235	5369.9599762862	9256.09806555091	5984.403961793	6708.74904137529	8658.09105558872	8626.87525120546	8297.35221697733	5945.86601375494	5818.89922093286	8084.01723478106	8404.66560341442	10707.3767381561	7432.05643308362	6852.57022680364	7391.03200457643	7545.14221877083	5750.32576235536	8711.85275680802	6779.71011425827	10216.2418670346	4878.47339190461	8886.03229535241	11486.5808617375	9075.71128143728	7745.57897890097	7233.7536284477	6821.67997389425	8005.29948832549	9266.45480883994	6406.07357479377	8919.09798703965	6206.81176105307	5734.7891998131	7838.3227190576	8389.65167693468	8663.2792276624	8301.92892880584	8092.68981877592	8056.33215791355	7826.34939425164	8226.06604365849	8117.33699381444
Motility and Chemotaxis	2474.00998480574	7066.92602700085	5787.3184753522	1128.08807770852	1339.38152193478	1735.90856323605	199.608793000022	574.482054274875	19675.4412544195	3227.91140379273	2976.00264384488	905.861136141353	394.320195826688	1211.38455258996	22786.9948135856	18030.5224365584	24185.1773142822	5058.19223227296	6274.56164772227	4742.77898156496	18183.8106157425	9107.22185268408	14205.1603877464	15738.6705601775	23007.0880688364	26821.1577278888	24068.0429631679	21914.336849141	21848.8537683309	3224.76780909307	20785.0874952663	23943.3286197371	8576.99848427025	7996.12611781197	4349.56665239262	8877.67817607631	10134.9804215154	1915.51040305802	7123.77482781656	19794.5957544381	13516.9336337244	4640.84128475569	16827.7860098587	25543.0744761844	5752.30223497486	7492.62973242407	10979.6991791939	2993.26529614322	2596.672294622	17409.6785601729	15690.861789225	19358.5234746558	20785.9623614252	30852.6132499001	2803.48700908026	1021.93182985588	292.506304294361	1808.60856802563	21842.552827689	28221.3055819733	22493.6113488101	21775.4698218979
Nitrogen Metabolism	4005.18533964036	3438.40888805086	3168.15421333819	2668.05003990415	2547.4898364876	4886.26114096074	2249.99031469624	3351.14531660344	3014.73508885627	4645.11214275121	4362.07359998426	2141.92637820381	1971.60097913344	2963.30304521646	1718.34827226388	1844.24480994708	883.004784428354	2132.38349401891	2416.11731708921	2825.56590896776	3209.70679937139	2128.73781086288	1110.88207476274	2688.96870544254	2001.44832708625	2497.49588218593	2882.41855468517	4681.24401317778	5490.78915661574	2861.6537102643	2672.40837866389	2494.03738800024	2724.48654066072	2357.13534577369	3208.80076332653	2229.34257960765	1942.69708325003	3382.8045841979	1920.68386426106	1551.93679677044	1473.13543802405	2508.51369225388	2064.16818073907	1904.31100764982	1972.84853368678	2287.92474980108	2149.79749437588	2425.4192446571	2085.96636902537	1700.47429808832	2812.96336986991	2532.16166970014	2861.91931007537	1355.30210590733	3027.80630511124	3505.43539935408	2239.64202028461	2819.49449929291	2688.72144399011	3812.04480197628	4046.68555688216	2629.34655106031
Nucleosides and Nucleotides	33445.962834927	32719.7824899065	30881.8375486596	31171.5488882642	29627.1949364698	32486.2888262747	33575.1304903043	31389.0611321855	26871.6166383763	34123.6253441986	34688.6326518256	29347.2164207796	28646.3615514148	33087.9402996178	28716.4607708927	26674.7167972245	27634.4403356631	32598.1837215269	31631.9001344813	34082.6788573613	24576.3488537989	29295.7661620677	32264.8910828772	28963.9909360137	24963.6047224188	26552.6769205538	27434.4732082817	28925.8108041146	27215.8356716088	34877.3058246871	26136.4136690494	29091.8674690507	30927.8166672238	29517.8051348948	31959.3324722831	30176.6389599987	33981.2441468399	36176.4058742781	35499.2856356664	31097.0665734771	33865.0538894916	33935.3333080018	33022.7790127713	29412.5951653762	30718.1580245781	30626.5573158126	28744.3822680094	28068.6190186473	29474.4306970447	27194.1030660525	27552.2739385521	33695.7055772308	33048.4298585974	28310.5848798609	35631.8413620243	36452.0719761994	37329.8045572793	37621.5451200357	24008.0513476419	23755.9103774232	26787.8193179134	25330.2572511797
Phosphate Metabolism	8757.2722761385	8937.43927395408	5460.65166846276	2919.63802845784	7132.18192888779	8321.33946186171	5201.80514558056	4500.10942515319	6385.51977988525	8349.05755569247	8373.76156758923	7321.15185994039	5955.37085878166	6103.16416287518	8126.80588978236	7423.705778655	8670.19160518096	4119.34821337092	5189.15689750973	2598.04744559491	5764.7648672396	6335.88053781085	8107.00374117605	6771.64356363819	7450.51408293643	7684.89472932139	8128.46356472056	5411.41696725174	5429.01058777849	2080.93030747051	7936.28054236932	7493.38737625275	4910.3460135299	4848.86396708592	3964.11818810524	5285.34279725765	7822.02563268711	2443.71907470649	4325.00742189642	7378.77058270521	4874.46447956773	2732.98837653533	5238.56489294686	8068.08371822543	4039.15025904309	5403.0124703061	6930.58442270355	6465.91821364157	5216.94399663619	5045.11097077238	3768.38274219004	9091.84151729525	8349.12471453348	9735.97830312433	6922.63831592783	7498.87653293341	2136.42104559612	2302.16358069627	5390.24992495675	6209.50376195109	6974.13089279094	6602.93610423346
Photosynthesis	2252.89136485129	2284.55490852135	2163.55003135243	1613.00363629186	1427.96626150269	2241.06713983914	3048.42548669633	3782.00685730959	1812.58074278954	2464.35591079697	2199.23865102482	1638.12098987074	1896.95600379176	3852.74936650793	854.100600574916	1308.77374761182	1041.74470901206	1932.96418022133	3325.74456167619	3178.89072387279	894.774236766742	2869.58142275277	1208.78051677569	1765.60419743804	1450.899990297	741.007028244565	953.359208453556	785.062315606723	618.786151025706	738.213397412595	1099.83100429685	1107.8192753729	1752.21578692738	3923.85171595348	1955.51623573343	2758.21090211561	1070.98083517315	3313.15227159607	2756.15161326626	1418.79077509292	1049.40272706783	3541.75210936788	2973.02808091288	1293.85994417894	3808.10015702598	6620.22273509143	4811.91939575903	2052.90318983274	2120.99673937315	251.854622222491	3562.97590444544	405.786745231051	579.247903519916	762.080824936842	1508.17370588544	801.568438733008	3688.39199472716	3533.59153589777	1808.41412677261	1580.70315880245	1658.90511148697	1671.93374260289
Prokaryotic cell type differentiation	4479.55902727483	4372.12800426521	4423.6047757706	4730.8010213256	5606.00751599785	4590.81991282621	2916.68368331631	2633.04274875984	4854.58440074	4915.28462479885	4507.00583883206	4709.41701120918	4480.86214297432	3305.79300981511	7476.81112948507	7215.26665596855	4820.99030217183	2153.50181509626	3119.34932259329	1773.68024472053	20361.0069548292	3717.76144880734	4932.65881536444	17300.8550346445	5256.27616042284	14236.4258273068	14900.8045191121	27746.8129976243	34016.3138131966	2751.72695626095	2920.3195043661	3249.55573318259	6759.77928830716	3505.0737964052	5563.80625071909	3673.88111682379	18127.5444037524	873.454361328449	2280.44043945547	2811.7793397738	19293.8695416874	1794.34220887544	2410.64889693568	18068.3867472705	2362.3933703193	3162.70340981991	4264.08266848786	4707.19448956403	3552.20246684539	34037.3078182493	7166.2929716191	31530.585259282	38438.3806896556	18503.6810290357	3791.33528616642	3994.16571521886	180.378887648189	415.805067429888	2818.2204202423	4938.99473790521	4647.13861140142	5324.70522762105
Prophages, Transposable elements, Plasmids	1736.27088638657	2894.85485003767	2116.38458797013	1827.39447600025	2551.10889734274	2657.44026964531	1744.31470576285	2138.34986868981	5974.15393755004	1831.01763820503	1684.12626679968	2812.50151700209	3005.81252154856	1711.16533966198	6068.03169891364	3889.06920954542	6881.18595723548	1462.69176857927	1910.2538085332	1698.64389825264	2658.90796704241	2407.08478318822	1791.34858550301	4736.07906170459	6880.83036083617	6859.02279100015	4932.67665915969	2137.31470038531	5413.50341665335	837.465832884101	13802.1760869483	5522.24290170881	1212.62996679019	1715.43122672635	792.438958514974	1593.18757529054	835.562117972313	394.074115009086	613.138846245016	1724.11693163542	1920.54870092371	1034.69368249021	3177.93603135173	1046.56136886852	1329.47731465539	1755.76013013999	2487.99315768913	2367.43401687189	1778.80533218639	428.626679788204	1871.97799155345	786.770276345852	874.703773184355	2213.21753089766	1913.72685898762	1966.96743321635	392.258454220386	406.376690941994	18104.9821152994	5768.74309264747	6736.99878975285	5733.40301506985
Protein Fate (folding, modification, targeting, degradation)	33967.638484944	32619.3923098408	35902.1247073309	30840.8324194396	28509.8921488279	34401.29906667	29686.0858400206	26888.9517070323	34469.0295390047	33286.6855677288	33228.389152728	30083.2537098207	28700.4521132566	30083.533787801	32333.1430686239	36314.4878972925	33920.5562333714	40600.7518065583	36792.2690435612	26886.2457666384	28122.1437234935	38605.7345748403	33153.8137589382	31052.8030950804	36179.2941905963	33680.5301683125	27513.6848062232	30544.3247408898	31169.6640771926	41355.3062922915	25818.6890518636	30861.5614846918	37421.2545539065	37975.5608663483	33936.9677566159	39528.4613910301	28846.4481341265	28084.6741191497	40038.0327307959	30577.2733261166	35421.0712593177	41395.0236264896	32122.4879905249	33237.9277078825	37217.8509858951	37779.8568485213	39609.0215295484	31046.7015531977	33925.6230892363	28084.5239663268	31340.642210901	28331.4328099775	25716.6601465665	37149.4401152259	32268.0603041735	29254.5308326066	23460.3181326962	24244.8651739139	30153.210554538	32850.2048003295	33928.3893690202	33964.617413323
Protein Synthesis	75229.4110840317	72737.6235691343	73995.9669649952	72693.0353647852	63899.0432235983	71614.6475430972	80041.0234470555	74931.6092792529	62453.125886227	75363.3592219445	75696.6294498083	72380.2417179282	69531.9027118964	76645.5874611223	66662.5144471504	74306.2862761608	70665.8347252984	91732.0906381755	85103.5881219807	84059.9145951134	69581.4773111147	79937.4502172127	80054.1602290001	66351.8827658077	64058.7738756705	67192.8789639183	59652.7629256036	69009.9707774814	68127.7882990931	108002.904720166	59331.3651467949	42199.6142530039	85130.995579367	87436.0769592433	83867.0847520415	85169.1590122653	71915.6733489964	92116.662629975	100943.466455784	47142.6673145594	92230.8645404331	99972.0017336287	62545.4321841189	58191.9302590117	92115.4961093697	85531.7890629575	76261.1925744029	74186.0958379866	81814.6222089753	71979.4921642015	74066.5968304544	68186.6545784866	61978.317336806	72508.1179578358	71030.5813321613	69682.0743177244	87658.6267782083	87361.7788050608	51998.1432725627	57581.4688861644	58780.6980080823	57571.9840422543
RNA Processing	36971.8818030375	36213.0170780978	34422.38796944	41422.9140320809	38436.7951214393	36386.5722727201	55634.8164051845	43359.0330463962	41417.7231808824	37426.0111603141	37841.8985724152	40568.9238723354	40326.9208830604	52043.3060385643	43164.076872128	41478.4271975623	45705.7565245958	30892.1068458736	39079.0843787193	60813.8609814135	40393.4042005699	36077.5476339763	37456.631132283	41207.0553508135	45464.719906515	46308.9083069314	42525.5923648849	40884.8143985437	42176.4290377191	25400.9080083631	40254.8692827304	35939.6164106781	33359.8453923646	35316.8664624145	33679.2904574116	35534.0171007569	29511.4264256558	58920.1406631202	29087.2606161661	32247.6687324838	35067.8954054906	28299.0905059137	30543.1879045107	36783.7637623472	38948.3786808811	40525.9138550564	37475.6780768949	37346.6431092569	34275.0909803693	35857.5740398838	28438.891272788	35549.3067693133	38024.2473884471	48683.1086984652	32438.0186101979	32957.8585349875	71501.1410411113	68826.3694957443	39916.5762000608	40892.2157915604	41941.0316646596	42260.8851854356
Regulation and Cell signaling	12405.6618021965	12409.7818516992	11354.6720784388	14740.350882058	11382.7195524221	13465.3845552466	10946.8921966957	10343.8685439159	8391.78527344095	12812.6831865149	12277.5580631979	10386.6290234795	9302.38664442826	9971.49080905494	8385.53956864773	8706.79069637374	7151.03638693099	8866.29324372527	8919.64105923145	9629.84803853975	10762.1213374873	9340.97671019825	7098.8185788599	9639.75531413485	7179.25763935433	10140.3527608184	13130.8639769418	14163.6219607759	15085.0926061168	9691.90668941945	15828.036676184	7719.63538968045	9880.17302258452	8016.11058969366	14328.4504072689	8047.75870851375	14154.319197493	9904.87480061396	8955.13070499537	7231.52155798624	11137.5043160072	8147.52149855674	7714.18823816715	8836.59569625382	8287.93622040414	8494.85789648652	8125.69237398481	9337.6137378823	9085.32935710488	10523.4896471742	8377.86022214291	11110.6999005735	11733.1810889088	7815.37121182158	10880.4117360844	11648.0302608483	11151.0153342494	11147.7297585012	19908.1793073246	13655.987377445	9891.35099919526	7023.05243819506
Respiration	49220.3548512327	50230.3622582611	54782.8601091165	50239.4836981645	47720.031670687	49353.9929341212	46139.4394294264	50841.6618033264	52963.3522006587	49199.3096666012	49448.7411773721	46946.046425293	45778.4652035667	46423.4462447575	56329.8018353459	59556.8497197011	61940.4971828854	106230.257432243	94782.0122457453	49310.5825458304	40895.8273836632	86480.6052542414	59840.0609866659	48369.7615581308	50590.7577630269	46117.80991201	40459.8930122043	45560.2565099105	41713.8734671849	135945.12452159	44438.8097282433	44598.8844710795	83034.2808995975	119472.276156004	78768.4324763876	82733.5548394433	82026.6722888242	62479.9913730409	110089.145914289	48405.4980622726	68663.5317398398	121656.911104636	91511.3318261286	44489.36685897	100812.747917006	76134.750680647	67259.6243334294	54710.3814850538	82175.1031568905	104871.389945119	133249.821310586	54667.670427287	35323.4652287598	49224.8834241555	65596.3890913435	57022.8541498266	42046.2812099847	42138.8306028368	46643.5311969567	46777.8277664523	44503.6363449871	47147.6525287641
