#NAME	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H821_chip_S1	H823_chip_S1	H827_chip_S1	H831_chip_2_S1	H831_chip_S1	H835_chip_2_S1	H835_chip_S1	H838_chip_S1	H840_chip_S1	H841_chip_S1	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_swab_1_S1	H827_swab_2_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H837_swab_1_S1	H837_swab_2_S1	H840_swab_1_S1	H840_swab_2_S1	H841_swab_1_S1	H841_swab_2_S1
p__Candidatus Parvarchaeota	0	3	10	0	6	0	17	2	0	0	0	0	10	42	1	0	0	0	1	0	1	1	0	4	0	0	10	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	4	1	7	5	0	0	0	0	0	7	18	4	2	0	1	2	0
p__Candidatus Gracilibacteria	4	5	7	1	118	0	13	3	0	5	57	62	41	30	5	7	4	4	17	3	24	9	3	54	27	16	16	27	7	4	3	2	3	20	2	7	1	0	5	4	7	2	4	44	0	11	13	52	25	2	1	3	26	10	5	4	3	0	4	9	8	24
p__Ctenophora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
p__Elusimicrobia	174	1127	724	38	1031	27	374	46	1	240	902	892	308	344	273	296	321	150	285	161	57	271	101	254	353	599	378	446	351	38	197	145	388	454	184	396	135	84	60	73	102	103	112	195	197	173	469	669	273	306	35	214	372	577	471	1073	77	100	109	223	294	249
p__Candidatus Amesbacteria	8	76	30	1	49	6	88	9	2	6	25	125	17	42	27	10	10	7	10	8	10	21	4	29	7	39	26	121	197	0	6	1	13	20	4	12	11	1	0	1	31	0	1	31	3	6	21	32	8	39	0	15	38	10	14	8	4	4	5	1	9	11
p__Dicyemida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Acidobacteria	7537	35497	49310	1893	27170	1167	10324	2205	102	7513	25156	23461	7998	12671	19904	36800	16458	35858	53722	13296	3633	79564	25362	16925	13652	17302	7158	27460	41232	13749	53649	13718	112081	145701	37230	135331	12772	21205	22730	15283	13029	41755	24071	22426	85618	56201	144797	53121	33407	3950	3736	12053	11358	15778	54590	39514	3807	9103	13473	9584	14850	10760
p__Candidatus Wolfebacteria	2	17	17	3	7	0	1	0	0	7	19	0	1	5	3	14	10	2	8	5	24	12	1	22	5	69	33	92	11	0	0	9	8	13	7	13	0	1	0	2	1	3	3	3	5	5	5	6	6	1	0	6	25	33	1	9	2	3	3	13	5	15
p__Lenarviricota	55	5	8	2	0	0	0	0	0	0	3	0	0	0	0	0	1	4	10	6	0	36	6	4	0	0	4	0	12	2	7	0	17	26	12	36	1	17	27	36	19	19	26	47	23	30	8	3	8	0	5	2	3	0	2	0	5	8	0	2	1	3
p__Candidatus Andersenbacteria	0	4	28	1	1	1	4	5	0	0	15	4	0	0	0	4	1	0	1	0	0	4	1	1	2	3	1	0	0	0	1	3	8	8	1	5	2	2	0	0	1	0	1	2	0	4	3	1	0	0	0	1	4	0	2	1	2	1	0	0	3	6
p__Candidatus Lloydbacteria	7	11	10	0	0	3	0	0	0	29	137	0	0	1	3	4	3	3	6	4	0	5	0	4	2	7	2	14	0	2	6	0	2	6	4	11	0	0	1	0	1	2	1	2	1	4	6	6	0	3	0	0	1	0	0	1	0	0	1	0	5	1
p__Deinococcus-Thermus	12925	273970	7412	317	13719	6376	4657	691	55	26071	82065	18368	4306	5311	948	2512	1483	893	2464	736	275	2329	1186	1732	1230	3974	2488	1723	1330	1404	546	588	1316	1669	535	3838	514	450	506	656	508	386	742	17130	1032	1066	1871	9102	2712	162	373	818	2112	1615	3806	7899	372	451	802	1049	2083	1836
p__Candidatus Niyogibacteria	0	10	7	0	1	0	5	0	0	2	0	30	0	6	1	0	3	1	0	0	0	4	0	0	1	1	2	3	0	2	1	0	2	1	5	7	0	0	0	0	0	0	1	0	0	0	3	2	1	1	0	6	2	6	0	4	0	0	0	0	0	1
p__Lentisphaerae	268	2148	751	100	642	48	620	70	5	431	1467	1003	291	570	167	367	278	273	359	123	81	406	104	388	353	387	213	573	559	52	260	83	434	407	261	466	225	105	95	115	89	113	112	206	260	190	556	647	223	176	31	231	532	308	558	1073	91	88	135	316	382	499
p__Candidatus Fervidibacteria	0	2	15	0	0	0	1	0	0	0	0	0	0	2	0	1	0	4	0	3	1	5	1	0	0	0	0	0	0	0	0	1	3	1	0	2	0	0	0	0	0	0	0	0	3	1	2	9	1	0	0	0	0	0	4	1	5	14	0	2	1	0
p__Chaetognatha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Prasinodermophyta	3	28	26	0	10	0	9	0	0	5	19	13	1	9	9	18	16	27	27	8	4	17	11	11	20	9	6	7	5	3	7	6	16	14	8	23	6	2	10	12	4	13	13	2	14	23	14	19	5	6	19	16	42	13	2	6	2	3	5	0	11	7
p__Candidatus Chisholmbacteria	0	7	13	0	1	0	3	0	0	1	12	0	2	2	0	0	0	3	0	3	0	0	0	3	0	1	0	0	4	1	0	0	3	4	0	2	2	1	0	0	1	2	2	2	0	1	5	3	0	18	0	1	4	0	23	11	2	1	2	1	13	2
p__Candidatus Fischerbacteria	0	1	12	0	2	0	0	0	0	4	31	3	0	4	1	6	0	0	6	4	0	7	2	6	4	25	4	24	3	2	1	1	11	8	4	9	0	6	0	3	1	3	1	0	6	6	6	6	4	2	0	1	4	3	2	0	0	1	3	1	3	2
p__Candidatus Riflebacteria	36	126	47	1	24	1	14	4	1	20	39	34	4	47	3	15	5	14	9	3	1	23	3	23	61	69	6	15	15	0	4	4	21	38	15	42	11	4	5	3	4	16	2	19	9	9	21	18	5	19	1	15	11	118	10	23	9	13	2	5	31	31
p__Candidatus Moranbacteria	17	54	57	2	90	1	31	6	0	14	62	50	9	11	17	35	16	13	20	17	3	118	2	33	51	33	17	70	14	3	9	3	25	34	15	39	10	8	12	2	5	14	8	5	20	10	49	55	15	2	4	6	29	3	9	5	4	5	9	24	8	41
p__Candidatus Fermentibacteria	5	68	70	3	29	2	13	2	0	32	87	24	26	13	9	8	3	2	11	2	2	20	5	11	22	10	12	18	7	2	2	1	16	17	9	18	12	0	3	0	3	6	4	34	5	7	28	53	13	2	4	2	13	3	20	70	3	3	7	4	16	15
p__Foraminifera	0	15	24	5	20	1	13	3	0	2	1	54	8	12	8	189	20	53	58	16	3	53	25	19	19	7	29	20	43	20	7	35	203	33	31	52	11	19	24	5	20	22	26	4	30	21	40	21	20	9	11	16	15	11	13	6	17	9	15	8	2	15
p__Candidatus Ryanbacteria	1	15	15	0	3	0	0	0	0	9	16	1	3	1	5	4	0	0	7	1	1	5	0	0	3	1	1	0	2	0	0	0	0	6	0	2	0	2	0	0	0	3	1	3	1	3	4	1	1	1	0	3	2	0	0	0	0	0	2	2	5	1
p__Candidatus Coatesbacteria	17	82	50	4	16	7	18	3	0	20	65	27	1	20	8	10	3	6	4	10	5	15	3	10	6	5	13	14	26	1	3	3	11	19	5	12	2	16	2	3	2	5	0	1	15	7	5	16	9	1	1	5	15	12	84	282	12	17	3	9	34	11
p__Candidatus Abyssubacteria	17	166	90	9	93	8	45	5	0	39	120	270	28	61	17	28	21	24	11	24	3	12	7	47	22	36	32	40	13	6	6	3	28	33	16	27	29	6	6	0	0	5	7	47	14	18	34	49	20	4	2	43	43	11	14	8	4	10	4	9	18	13
p__Candidatus Desantisbacteria	3	34	33	2	34	0	133	1	0	7	15	61	19	69	4	4	14	1	5	8	3	9	1	23	10	18	20	29	14	0	8	6	2	24	11	13	12	6	2	6	2	8	1	41	4	2	12	26	16	2	2	50	30	19	9	14	2	3	5	1	14	4
p__Candidatus Gribaldobacteria	0	0	2	0	0	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
p__Candidatus Collierbacteria	2	12	57	10	1	1	2	1	0	8	13	8	4	4	1	6	0	5	2	0	0	6	0	12	1	2	3	9	39	0	0	0	5	1	4	17	0	5	0	1	3	0	2	4	1	2	5	20	3	3	0	1	1	2	1	3	0	0	0	0	12	8
p__Kitrinoviricota	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	2	0	2	0	7	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	7	13	0	0	0	0	0	1
p__Thermotogae	124	1668	542	47	771	36	358	31	0	253	853	704	250	445	137	92	103	43	62	71	115	93	53	434	114	456	463	581	816	30	18	34	110	98	81	99	133	17	15	12	187	21	32	257	52	41	107	463	143	534	21	248	516	278	110	166	40	78	77	155	274	183
p__Perkinsozoa	16	69	20	2	27	3	21	13	0	7	31	56	8	25	109	99	111	94	64	23	7	169	41	30	70	23	13	19	15	43	29	23	248	146	71	119	21	24	40	43	40	22	19	59	128	43	97	208	66	25	41	15	34	9	52	108	10	16	48	75	71	138
p__Candidatus Mcinerneyibacteriota	0	10	9	0	0	0	1	2	0	2	8	2	2	2	0	0	1	1	0	2	8	4	2	7	2	10	18	5	3	0	1	0	1	4	5	0	1	0	0	0	8	1	1	8	0	0	2	3	2	1	1	6	3	3	2	8	8	1	0	0	8	2
p__Endomyxa	19	61	123	5	22	0	3	15	1	4	40	15	13	13	60	833	61	107	92	32	11	52	49	55	72	117	61	57	72	27	18	63	746	102	53	87	36	31	38	44	19	25	71	40	51	35	68	53	44	39	25	28	36	19	52	71	1	1	37	70	41	55
p__Candidatus Vogelbacteria	0	35	16	0	0	0	2	0	0	1	13	7	1	4	0	2	6	6	5	0	0	10	0	2	2	3	1	4	3	0	2	2	5	2	1	5	12	0	0	3	1	0	3	11	3	1	5	3	3	0	0	4	21	10	0	2	3	0	1	4	4	1
